away_team,Team Name,City
CHN,Chicago Cubs,Chicago IL
NYN,New York Mets,New York NY
COL,Colorado Rockies,Denver CO
MIL,Milwaukee Brewers,Milwaukee WI
SFN,San Francisco Giants,San Francisco CA
LAN,Los Angeles Dodgers,Los Angeles CA
SDN,San Diego Padres,San Diego CA
CHN,Chicago Cubs,Chicago IL
NYA,New York Yankees,New York NY
CLE,Cleveland Indians,Cleveland OH
TBA,Tampa Bay Rays,St. Petersburg FL
DET,Detroit Tigers,Detroit MI
CHA,Chicago White Sox,Chicago IL
KCA,Kansas City Royals,Kansas City MO
PHI,Philadelphia Phillies,Philadelphia PA
COL,Colorado Rockies,Denver CO
MIL,Milwaukee Brewers,Milwaukee WI
SFN,San Francisco Giants,San Francisco CA
LAN,Los Angeles Dodgers,Los Angeles CA
HOU,Houston Astros,Houston TX
NYA,New York Yankees,New York NY
TBA,Tampa Bay Rays,St. Petersburg FL
DET,Detroit Tigers,Detroit MI
BOS,Boston Red Sox,Boston MA
CHA,Chicago White Sox,Chicago IL
KCA,Kansas City Royals,Kansas City MO
PHI,Philadelphia Phillies,Philadelphia PA
COL,Colorado Rockies,Denver CO
MIL,Milwaukee Brewers,Milwaukee WI
SFN,San Francisco Giants,San Francisco CA
LAN,Los Angeles Dodgers,Los Angeles CA
SDN,San Diego Padres,San Diego CA
HOU,Houston Astros,Houston TX
CHN,Chicago Cubs,Chicago IL
NYA,New York Yankees,New York NY
CLE,Cleveland Indians,Cleveland OH
TBA,Tampa Bay Rays,St. Petersburg FL
DET,Detroit Tigers,Detroit MI
BOS,Boston Red Sox,Boston MA
CHA,Chicago White Sox,Chicago IL
KCA,Kansas City Royals,Kansas City MO
PHI,Philadelphia Phillies,Philadelphia PA
MIL,Milwaukee Brewers,Milwaukee WI
SFN,San Francisco Giants,San Francisco CA
LAN,Los Angeles Dodgers,Los Angeles CA
SDN,San Diego Padres,San Diego CA
HOU,Houston Astros,Houston TX
CHN,Chicago Cubs,Chicago IL
CLE,Cleveland Indians,Cleveland OH
TBA,Tampa Bay Rays,St. Petersburg FL
BOS,Boston Red Sox,Boston MA
CHA,Chicago White Sox,Chicago IL
KCA,Kansas City Royals,Kansas City MO
PIT,Pittsburgh Pirates,Pittsburgh PA
SFN,San Francisco Giants,San Francisco CA
CHN,Chicago Cubs,Chicago IL
COL,Colorado Rockies,Denver CO
PHI,Philadelphia Phillies,Philadelphia PA
SDN,San Diego Padres,San Diego CA
LAN,Los Angeles Dodgers,Los Angeles CA
MIL,Milwaukee Brewers,Milwaukee WI
BOS,Boston Red Sox,Boston MA
DET,Detroit Tigers,Detroit MI
MIN,Minnesota Twins,Minneapolis MN
CHA,Chicago White Sox,Chicago IL
NYA,New York Yankees,New York NY
CLE,Cleveland Indians,Cleveland OH
TOR,Toronto Blue Jays,Toronto ON
PIT,Pittsburgh Pirates,Pittsburgh PA
SFN,San Francisco Giants,San Francisco CA
CHN,Chicago Cubs,Chicago IL
COL,Colorado Rockies,Denver CO
PHI,Philadelphia Phillies,Philadelphia PA
SDN,San Diego Padres,San Diego CA
LAN,Los Angeles Dodgers,Los Angeles CA
MIL,Milwaukee Brewers,Milwaukee WI
BOS,Boston Red Sox,Boston MA
DET,Detroit Tigers,Detroit MI
MIN,Minnesota Twins,Minneapolis MN
CHA,Chicago White Sox,Chicago IL
NYA,New York Yankees,New York NY
CLE,Cleveland Indians,Cleveland OH
TOR,Toronto Blue Jays,Toronto ON
